当前磁盘使用量,写入轮次
0.174874,187
0.265635,103
0.353342,101
0.434939,93
0.537483,118
0.619082,94
0.696751,89
0.769187,83
0.848601,91
0.926277,89
1.000891,85
1.072015,82
1.155363,95
1.237831,94
1.317246,92
1.393169,87
1.467790,85
1.550259,95
1.630982,92
1.709101,90
1.781097,82
1.860075,91
1.940798,92
2.019776,91
2.094827,86
2.168132,84
2.251051,95
2.335701,96
2.418170,95
2.498020,92
2.581361,95
2.666448,98
2.745426,90
2.826599,93
2.905576,90
2.985427,92
3.065278,92
3.144692,91
3.224106,90
3.306575,95
3.390366,96
3.471525,93
3.551376,92
3.630790,91
3.708459,89
3.792673,96
3.876014,96
3.952824,88
4.044019,104
4.125615,94
4.211138,98
4.292298,93
4.369967,89
4.458994,102
4.534917,87
4.616949,93
4.695927,91
4.770542,86
4.851265,92
4.936788,98
5.017524,93
5.096939,91
5.175044,89
5.256204,93
5.337799,94
5.418523,92
5.494883,88
5.579546,97
5.661142,93
5.740556,91
5.819098,90
5.900694,94
5.976181,86
6.063886,101
6.142877,90
6.220545,89
6.304323,96
6.385919,94
6.467951,93
6.544311,88
6.617630,84
6.695299,89
6.782131,99
6.862418,93
6.942705,92
7.024301,93
7.101097,88
7.186196,97
7.261248,87
7.343716,94
7.423130,91
7.503853,92
7.584141,93
7.661809,89
7.746037,96
7.820215,85
7.902247,94
7.980789,90
8.052785,83
8.139181,99
8.218595,91
8.298022,91
8.378309,92
8.457723,90
8.532338,86
8.616116,96
8.696403,92
8.773648,89
8.854808,93
8.934658,91
9.019745,98
9.098287,90
9.182064,96
9.257552,86
9.338724,93
9.417266,90
9.495371,90
9.570858,86
9.660308,103
9.738850,90
9.820009,92
9.900746,93
9.980596,91
10.060011,92
10.138552,90
10.218403,91
10.290836,83
10.377681,100
10.457095,90
10.534764,89
10.614178,92
10.696210,94
10.780424,96
10.860711,92
10.941011,92
11.016935,87
11.101585,97
11.180127,90
11.257359,89
11.330665,84
11.417497,99
11.497797,92
11.577647,91
11.658371,93
11.736040,89
11.818945,95
11.899668,93
11.979955,92
12.054582,85
12.138360,96
12.219083,93
12.300679,93
12.381839,93
12.458199,88
12.544595,99
12.625331,92
12.706927,94
12.784596,89
12.864010,91
12.944733,92
13.025457,93
13.104011,90
13.179498,86
13.262403,95
13.343127,93
13.417741,85
13.494974,89
13.570024,86
13.652070,94
13.731920,91
13.806971,86
13.884640,89
13.962745,89
14.038669,88
14.115901,88
14.190093,85
14.264707,86
14.349358,97
14.426154,88
14.505132,90
14.582364,89
14.660469,89
14.735970,87
14.811020,86
14.888689,88
14.958940,81
15.041409,95
15.119078,89
15.191947,83
15.276174,97
15.354279,89
15.431512,89
15.509181,89
15.585977,88
15.661464,86
15.734333,84
15.812888,90
15.889248,87
15.964299,86
16.038040,85
16.108292,80
16.187706,91
16.266247,90
16.345674,91
16.418544,84
16.501449,95
16.580863,91
16.657659,87
